Trading contract,Item Number,QTY,Date From,Date To,Material,Counter Party,UOM,Contract Type,Sales Organization,Distribution Channel,Division,Shipping Conditions,L/S Position Indicator,Mode of transport,Plant,Tolerance Schedule ID,Incoterms Sales,Incoterms Part2 Sale
0000001241,000010,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000020,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000030,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000040,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000050,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000060,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000070,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000080,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000090,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000100,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000110,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000120,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000130,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000140,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000150,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000160,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000170,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000180,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000190,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000001241,000200,26.00,1/1/19,1/31/19,000000000000100057,0200792635,STO,ZVS1,1100,10,23,01,HE,01,0016,VEH LT TOL,FOB,P0016
0000002300,000010,4500.00,5/1/19,5/31/19,000000000000100195,0200552391,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,p0010
0000002546,000010,4500.00,3/1/19,3/31/19,000000000000100195,0200790512,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,p0016
0000002707,000010,4500.00,3/1/19,3/31/19,000000000000100195,0200790512,BU,GTP1,1100,10,20,,FMNT,01,0016,50BU U TOL,DEL,p0016
0000002913,000010,10000.00,3/1/19,3/31/19,000000000000100195,0200184548,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,p0010
0000002934,000010,6000.00,1/1/19,1/31/19,000000000000100195,0200646853,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,p0010
0000003359,000010,10000.00,3/1/19,3/31/19,000000000000100195,0200184548,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,p0010
0000005889,000010,4500.00,5/1/19,5/31/19,000000000000100195,0200552391,BU,GTP1,1100,10,20,,MANK,01,0010,50BU U TOL,DEL,P0010
