Contract Type,Sales Org,Distribution Channel,Division,Purchase Org,Purchase Group,New Counterparty,External Ref,Inco1,Material,Plant,Quantity,UoM,Del From,Del To,Valuation Point,DPQS,Version,Validity Version,Timing,Gov Grades,Gov Weights,MoT,Tol Sched,Tol Typ,Exp Del Qty,UoM2,Intended Price Type,Trader,Side,Created On,Created At
YC3P,1000,10,05,1000,100,100000475,2934,DDP,10010,1000,"6,000",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,ALHEBERT,M,11/24/2017,1:06:13 PM
YC3P,1000,10,05,1000,100,100000293,6030,DDP,10010,1001,"25,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,ZZAMAN,M,12/4/2017,4:53:56 PM
YC3P,1000,10,05,1000,100,100000293,6052,DDP,10010,1001,"5,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,ZZAMAN,M,12/5/2017,8:42:51 AM
YC3P,1000,10,05,1000,100,100000293,6198,DDP,10010,1001,"5,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,CKESKA,M,12/5/2017,12:49:44 PM
YC3P,1000,10,05,1000,100,100000526,6409,DDP,10010,1001,"7,400",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,ALHEBERT,M,12/6/2017,9:35:21 AM
YC3P,1000,10,05,1000,100,100000074,10997,DDP,10010,1001,900,BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,SUJEJADH,M,1/19/2018,1:49:42 PM
YC3P,1000,10,05,1000,100,100000153,11208,DDP,10010,1000,"1,800",BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,AODLAUG,M,1/22/2018,10:48:48 AM
YC3P,1000,10,05,1000,100,100000165,11212,DDP,10010,1000,450,BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,SUJEJADH,M,1/22/2018,10:53:42 AM
YC3P,1000,10,05,1000,100,100000098,11213,DDP,10010,1000,450,BU,5/1/2019,5/31/2019,US_MN_MANKATO,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,SUJEJADH,M,1/22/2018,10:55:19 AM
YC3P,1000,10,05,1000,100,100000154,11599,DDP,10010,1001,"1,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,1/23/2018,2:57:57 PM
YC3P,1000,10,05,1000,100,100000295,11621,DDP,10010,1001,"1,800",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,ZZAMAN,M,1/23/2018,3:11:00 PM
YC3P,1000,10,05,1000,100,100000108,11763,DDP,10010,1001,"1,800",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,DDIXON,M,1/24/2018,11:57:42 AM
YC3P,1000,10,05,1000,100,100000154,11916,DDP,10010,1001,"1,500",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,ZZAMAN,M,1/24/2018,3:10:53 PM
YC3P,1000,10,05,1000,100,100000209,12321,DDP,10010,1001,"5,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,NBE,ESAHARE,M,1/25/2018,12:16:40 PM
YC3P,1000,10,05,1000,100,100000254,12598,DDP,10010,1001,"4,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,1/25/2018,5:53:58 PM
YC3P,1000,10,05,1000,100,100000534,12599,DDP,10010,1001,"8,000",BU,5/1/2019,5/31/2019,US_MN_FAIRMONT,AGPATH MANKATO YELLOW SOYBEANS VAL,2,1,D,ZDHA,ZDHW,01,QTS_OU25%,03,,,PRICED,PBAJANTR,M,1/25/2018,5:55:21 PM
